CO,PT08.S1,PT08.S2,PT08.S3,PT08.S4,PT08.S5,T,RH,AH
8.1,1961,1701,537,2665,2184,14.8,54.3,0.9076
5.8,1771,1470,622,2262,1973,17.4,45.6,0.8993
4.2,1564,1300,710,2029,1798,19.8,38.5,0.8801
3.1,1430,1120,831,1783,1522,22,34.1,0.8904
2.9,1417,1146,830,1831,1404,23.3,32.2,0.9096
2.9,1400,1162,838,1829,1263,23.9,30,0.8757
2.5,1317,1053,926,1707,1137,24.4,28.9,0.8736
2.3,1318,1033,950,1675,1068,24.4,29.4,0.8848
2.8,1445,1141,857,1824,1252,23.8,31.3,0.9137
6.1,1917,1601,631,2447,1843,22.5,35.4,0.9547
8,2040,1754,542,2679,2122,20.4,42.5,1.0086
6.5,1895,1573,565,2443,1992,18.3,52.6,1.0945
4.2,1595,1294,678,2058,1707,16.7,57.4,1.0786
3.2,1439,1159,764,1856,1494,15.7,60.2,1.0654
1.4,1142,852,1008,1547,1164,15.3,61.4,1.058
2.1,1304,1019,852,1731,1272,14.1,65.7,1.0494
1.2,1074,784,1098,1483,1040,14.8,60.6,1.0148
0.8,968,640,1320,1386,867,14.8,59.2,0.9879
0.7,929,608,1376,1364,826,13.6,62.1,0.9636
0.66667,941,626,1316,1373,840,12.3,66.2,0.945
0.6,937,585,1412,1348,793,12.8,63.2,0.9283
0.9,1017,681,1246,1418,870,11.2,68.5,0.9081
1.3,1171,770,1162,1467,930,11,66.5,0.8705
3.4,1541,1185,770,1889,1407,11.7,63.7,0.8719
3.7,1539,1287,698,2055,1507,13.6,56.3,0.8743
5.3,1735,1431,628,2211,1843,17.8,42.9,0.8672
4.1,1571,1297,730,1973,1729,21.4,33.3,0.8417
3.3,1452,1250,776,1868,1583,24.4,27.4,0.8231
4,1579,1359,724,1998,1671,25.3,26.1,0.8264
3.8,1466,1309,773,1897,1491,25.8,23.2,0.7589
2.8,1280,1136,893,1675,1240,27,20.2,0.7094
2.9,1407,1197,905,1759,1313,28.2,18.6,0.7014
2.9,1389,1173,898,1739,1363,28,19.1,0.7098
3.4,1447,1235,859,1778,1296,23.9,25.7,0.7519
3.9,1551,1271,800,1875,1432,21.3,34.8,0.873
3.2,1474,1173,854,1776,1432,20.4,36.7,0.8704
5.1,1800,1426,700,2106,2034,19,41.3,0.9007
2.6,1379,1101,818,1710,1602,17.9,45.9,0.9342
1.7,1201,943,935,1560,1362,16.7,48.9,0.9226
1.7,1205,925,922,1547,1314,15.5,52.9,0.9271
1.2,1072,784,1066,1442,1114,15.5,51.9,0.9059
0.9,998,714,1169,1383,992,14.1,55.6,0.891
0.7,933,625,1292,1332,884,13.1,57.9,0.8666
0.73333,883,577,1396,1303,808,12.7,57.9,0.8447
0.5,869,554,1460,1268,667,11.8,58,0.8026
0.5,891,576,1417,1289,733,11.9,57.4,0.7978
1.6,1173,878,1038,1556,1052,9.9,65.2,0.7956
4.1,1587,1334,702,1999,1534,11.1,60.2,0.7958
6.6,1852,1696,553,2535,1931,14.1,50,0.802
4.3,1522,1331,703,2026,1734,17.7,40.1,0.8048
2.9,1438,1161,819,1782,1595,21.1,33.4,0.8265
2.5,1393,1067,905,1654,1490,24.3,28.3,0.8471
2.8,1452,1152,861,1747,1508,25.6,25.6,0.8254
2.6,1389,1108,887,1712,1334,25.9,25.9,0.8503
2,1207,994,1013,1520,1045,26.8,18.7,0.65
2.9,1365,1154,940,1679,1221,29.3,15.8,0.6309
2.5,1247,1060,1032,1525,1069,28.5,14.9,0.5708
5,1557,1478,793,1981,1569,25.9,16,0.5237
7.6,1973,1737,617,2414,2306,23.1,26.5,0.7403
6.7,1975,1667,597,2416,2359,20.5,38.2,0.9133
5.7,1795,1485,653,2174,2050,19.1,42.6,0.9294
2.8,1444,1150,770,1727,1727,17.2,44.1,0.8558
2.6,1488,1171,731,1778,1705,16,50.9,0.9206
2.3,1371,1083,796,1669,1551,14.8,53.9,0.9024
1.4,1161,904,947,1502,1240,14.3,55.4,0.8975
1,1064,787,1057,1407,1115,14.8,52.1,0.8686
0.7,970,687,1196,1351,969,13.9,53.9,0.8501
0.66667,954,645,1260,1334,925,11.6,61.9,0.8442
0.6,931,623,1293,1307,828,12,58.9,0.8233
0.7,938,650,1251,1333,893,10.9,62.1,0.8113
1.5,1166,885,1005,1551,1075,10.6,63.3,0.8067
4.7,1643,1384,667,2094,1610,11.5,60,0.8117
6.6,1934,1682,541,2468,2051,14.3,50.6,0.8186
4.5,1617,1333,686,2010,1819,17.8,40.5,0.821
2.8,1473,1127,831,1752,1568,20.8,34.4,0.8365
2.2,1379,1068,899,1663,1374,23.8,28.2,0.8219
2.2,1385,1056,891,1648,1268,24.2,28.7,0.8515
2.3,1379,1087,901,1660,1144,25.2,24.9,0.7829
2.2,1322,1129,934,1639,1109,27,17.8,0.6275
2.8,1496,1205,822,1767,1347,27.1,23.1,0.818
2.7,1409,1131,873,1689,1206,25.8,23.9,0.7832
3.7,1513,1338,764,1957,1397,23,26.8,0.7446
5.1,1667,1464,683,2118,1588,20.7,31.1,0.7523
5.1,1667,1453,684,2051,1569,18.6,36.2,0.7676
3.2,1430,1121,814,1732,1322,16,48.4,0.8768
2.1,1333,989,885,1621,1194,14.5,57.8,0.9456
1.7,1262,911,948,1545,1062,13.1,64.2,0.9606
2,1287,936,918,1606,1040,12,69.7,0.9735
1.6,1134,840,1021,1501,917,11.9,71.1,0.9915
0.9,999,688,1229,1380,594,12.5,69.3,1.0029
0.6,934,569,1440,1280,397,12.3,67.7,0.9665
0.5,913,525,1620,1260,370,12.5,66.8,0.962
0.7,969,607,1373,1324,438,12.3,66.3,0.9487
1.5,1182,845,1054,1539,704,12.4,64.9,0.9332
4.8,1740,1372,671,2144,1476,13,61.6,0.9209
6.2,1819,1582,575,2456,1716,13.6,58.8,0.912
4,1427,1275,701,1980,1398,13.9,57.1,0.9032
3.3,1390,1191,759,1879,1268,14.5,54.4,0.8917
2.8,1283,1117,813,1751,1188,15.5,50.1,0.8744
3,1304,1157,793,1801,1171,16.1,47.6,0.8655
3.3,1364,1202,771,1875,1250,16.3,47.1,0.864
3.5,1410,1268,724,1957,1344,16.4,47.5,0.8791
4,1476,1280,708,1955,1378,16.1,50.2,0.9094
4.6,1522,1320,690,2005,1435,16,50.7,0.9142
4.1,1442,1301,704,1952,1372,15.8,50.3,0.8989
4.5,1469,1344,677,1997,1471,15.5,50.6,0.884
3.9,1467,1292,698,1942,1439,15.4,51.4,0.8956
4,1421,1202,748,1854,1429,15.2,53.1,0.9117
2.2,1175,945,904,1604,1081,14.7,57.6,0.9573
2.1,1215,912,948,1547,993,14.2,58.3,0.938
1.7,1127,802,1064,1447,837,13.8,57.9,0.9085
1.6,1090,773,1105,1429,761,13.9,55.9,0.8842
1.3,1017,718,1182,1382,650,13.9,55.6,0.8765
0.83333,945,646,1308,1332,505,13.8,54.6,0.8574
0.8,956,661,1260,1351,518,13.6,55.1,0.856
0.8,966,622,1317,1342,571,13.6,59,0.9129
1.1,1064,728,1161,1461,842,13.5,58.4,0.896
2.1,1300,935,902,1623,1145,13.8,58,0.9083
2.4,1348,998,834,1689,1218,14.6,53.1,0.8765
2.6,1425,1068,776,1764,1341,15,52.3,0.8881
2.8,1474,1061,768,1768,1406,15.4,52.1,0.9046
2.6,1490,1039,782,1757,1422,16.3,50,0.9158
2.6,1495,1040,809,1735,1373,17.1,47.9,0.9281
2.1,1376,953,900,1636,1153,19,42.9,0.937
1.7,1305,884,980,1573,927,19.5,42.3,0.9476
1.6,1283,844,1036,1539,766,19.5,42.3,0.9493
2.1,1392,967,930,1649,941,19.1,43.8,0.9556
2.3,1452,1063,856,1774,1146,18.5,46.3,0.9744
3.5,1633,1199,734,1919,1417,17.4,51.6,1.0159
3.9,1625,1191,733,1885,1442,17.1,51.3,0.9914
3.3,1535,1108,785,1820,1323,16.4,53.8,0.9964
2.3,1323,973,864,1712,1125,16.2,55.4,1.0132
2.1,1309,937,905,1672,1036,15.9,57.7,1.0356
2.8,1456,999,835,1714,1202,15.7,58.6,1.0396
2.1,1300,872,941,1577,1054,15.1,60.9,1.0398
1.6,1203,823,1004,1526,903,15.6,56.6,0.9951
1.3,1117,802,1029,1539,818,15.4,57.8,1.0021
1.1,1062,711,1136,1461,700,14.9,60.6,1.0196
0.7,947,594,1300,1390,580,14.5,63,1.0316
0.8,1065,687,1143,1492,815,14.2,66.2,1.063
1.2,1155,734,1062,1528,1035,14.5,65.3,1.0704
1.4,1220,782,996,1560,1067,15.3,62.1,1.073
1.7,1301,862,914,1633,1114,16.3,59,1.0868
1.8,1279,870,911,1646,1000,18.9,49.6,1.07
1.8,1267,883,953,1617,906,19.4,46.1,1.0249
1.9,1239,848,981,1568,822,20.8,41.6,1.0091
1.3,1128,742,1144,1507,610,21.4,40.3,1.0126
1.6,1243,916,962,1669,657,21.2,39.3,0.9791
1.9,1208,853,1060,1506,647,20.3,38,0.8942
2.3,1306,938,961,1607,762,19.4,41.3,0.9206
3.8,1546,1151,769,1874,1122,18.5,43.8,0.9252
3.5,1501,1071,823,1744,1130,17.8,48.1,0.9689
4.3,1605,1153,769,1840,1637,17.9,46.9,0.952
2.8,1316,974,883,1673,1272,17.4,49.1,0.9688
1.9,1195,898,933,1594,1098,17,51.7,0.9914
1.9,1211,896,920,1624,1066,16.4,55.1,1.0198
1.7,1161,815,995,1582,909,16.1,60,1.0919
1.5,1095,767,1050,1547,818,15.8,60.5,1.0805
0.6,897,563,1417,1355,472,16.3,57,1.0491
0.5,854,481,1756,1304,396,16.1,55.9,1.0153
0.3,845,472,1786,1278,378,16.5,53.9,1.0049
0.6,942,586,1480,1373,432,16.4,54,0.9979
1.2,1090,768,1072,1538,699,15.7,57.6,1.0195
3.6,1514,1230,732,1996,1252,15.8,53.7,0.9571
3.7,1379,1252,711,1962,1237,17.4,42.1,0.8281
1.8,1074,854,1032,1484,772,17.9,38.4,0.7793
1.6,1090,868,1026,1509,766,18.5,36.7,0.7764
1.9,1110,964,947,1577,829,21,29.6,0.7263
2,1102,994,955,1599,783,21.3,28.1,0.7067
2.2,1100,1021,952,1607,822,21.3,26.1,0.6539
2.1,1094,1003,965,1574,813,21.3,26.8,0.6681
2.3,1076,1034,964,1544,813,21.3,24.2,0.606
2.6,1152,1062,928,1606,850,20.2,28.5,0.6682
3.8,1407,1249,720,1932,1276,17,43.1,0.8264
4.4,1438,1325,678,1993,1401,15.6,47.4,0.8347
4.5,1425,1325,678,1965,1356,15.3,47.4,0.8178
3.3,1279,1131,775,1758,1243,14.5,49.7,0.8177
2,1132,916,920,1561,1083,13.9,52,0.8231
1.1,1006,729,1142,1370,795,14.5,49.4,0.8106
0.9,982,700,1204,1359,735,13.8,51.4,0.8071
0.8,969,636,1271,1309,684,14,51.3,0.8163
0.7,941,621,1298,1330,714,13,56.8,0.8444
0.5,892,522,1522,1285,456,11,70,0.9215
0.6,855,478,1701,1261,401,10.1,76.8,0.9483
0.3,834,459,1908,1212,361,8.8,80.5,0.9147
0.5,909,567,1542,1287,418,9.6,75.4,0.9004
1.1,1061,745,1178,1429,616,9.8,75,0.9093
3,1441,1124,851,1829,1089,10,74.2,0.9117
3.8,1498,1325,684,2095,1329,11.2,69.7,0.9232
3.4,1343,1185,760,1857,1311,12,62.9,0.8803
3,1308,1166,792,1794,1236,12.8,55.8,0.821
2.7,1209,1097,837,1746,1147,13.1,54.8,0.8234
3.5,1310,1207,770,1847,1301,13.8,53.4,0.8351
2.8,1171,1064,881,1639,1097,16,42.4,0.7674
1.9,1112,980,924,1589,900,14.1,49.8,0.7971
2,1132,927,944,1570,781,12,61.1,0.8537
3,1225,1111,818,1719,1013,13.6,54.6,0.8465
1.9,1065,953,962,1514,790,13.7,49.5,0.7695
2.7,1236,1084,854,1688,1059,11.7,57.1,0.7822
3.3,1309,1126,812,1722,1205,11.5,58.2,0.7867
1.7,1089,884,1006,1487,975,12.6,54.2,0.7881
1.3,1000,776,1141,1375,896,12,54.9,0.7664
1.3,1041,782,1105,1425,911,11,61.4,0.8057
1.2,1045,756,1137,1411,902,11.1,62.2,0.8199
1.1,997,744,1151,1405,832,10.8,62.5,0.8082
0.9,948,634,1320,1326,715,11.3,60,0.8025
0.6,878,551,1493,1272,683,10.6,61.6,0.7856
0.66667,908,559,1477,1287,721,10.2,62.7,0.7813
0.6,892,522,1572,1255,648,10.9,58.6,0.7628
0.8,954,561,1496,1255,612,10.8,57.2,0.7382
1.2,1045,751,1186,1403,800,10.4,59.2,0.7455
3.1,1383,1109,832,1706,1173,11,57.3,0.7501
4.4,1597,1395,652,2080,1519,11.2,56.9,0.7565
3.4,1318,1124,762,1770,1287,12.1,54.9,0.7734
1.7,1138,898,950,1505,966,15.1,44.3,0.7535
1.5,1098,842,1012,1440,828,15.6,40.6,0.7146
1.7,1118,927,959,1477,825,16.9,34.6,0.6597
2.2,1170,1009,879,1566,872,16.6,35.6,0.6697
1.86667,1112,842,1015,1494,680,11.3,63.9,0.8554
2.7,1390,1028,829,1730,1002,9.6,81.1,0.972
2.8,1353,1096,774,1783,1159,11.7,69.1,0.9497
2.7,1260,1050,828,1722,979,10.7,68.5,0.8794
4.5,1501,1302,681,2008,1311,10.7,67.3,0.8643
3.5,1273,1130,795,1744,1071,10.8,65.7,0.8486
2.6,1179,955,928,1571,899,10.3,66.3,0.8336
1.7,1047,809,1064,1435,766,10.1,66.9,0.8248
1.3,973,739,1186,1354,589,10.4,61.1,0.7717
1.3,997,737,1168,1341,631,10.3,59.9,0.7516
1,970,621,1400,1249,479,11,58.4,0.7686
0.7,902,568,1450,1253,479,9.1,68.1,0.789
0.7,921,538,1564,1224,417,9.5,68.2,0.8091
0.5,858,490,1707,1212,378,9.3,72.3,0.8496
0.5,878,457,1935,1158,344,9.9,66.8,0.8152
0.6,893,540,1604,1268,413,7.6,83.2,0.8695
1.1,1038,697,1260,1383,605,8.1,79,0.8544
2.7,1320,1035,902,1721,991,8.7,74.6,0.8429
3.5,1353,1235,740,1937,1175,8.6,75.1,0.8415
2.3,1133,933,969,1552,923,9.7,69.7,0.8389
1.6,1066,849,1039,1468,829,11,64.4,0.8447
1.3,1027,809,1081,1442,733,13.6,53,0.8209
2,1106,935,958,1570,819,14.2,48.4,0.778
1.9,1038,907,976,1492,723,14.2,46.3,0.7438
1.9,1084,924,986,1501,786,16,41.3,0.7462
2.2,1105,982,939,1545,850,17.7,35.4,0.7094
2,1102,957,968,1527,820,17.1,37.4,0.7225
2.9,1240,1137,836,1748,991,14.9,40.5,0.6835
5.2,1443,1418,666,2060,1454,13.4,47.8,0.7293
4.6,1389,1341,692,1982,1488,12.6,52.5,0.7642
2.5,1183,989,904,1539,1205,12.2,53.2,0.7555
1.5,1014,798,1083,1376,909,10.6,56.1,0.714
1.2,979,736,1154,1324,769,9.9,59.5,0.7276
1.7,1048,787,1098,1373,835,9.6,61.1,0.7323
1.4,1024,753,1131,1357,793,9.7,61.6,0.7425
1.2,974,690,1208,1313,733,9.4,62.6,0.7398
0.6,862,561,1449,1219,502,8.2,68.5,0.7455
0.7,925,602,1398,1263,562,8,69.4,0.7459
0.8,952,654,1210,1312,832,7.7,72.4,0.7655
0.9,1005,713,1130,1363,924,8,71.8,0.7711
1.6,1122,842,1015,1438,974,8.5,66.3,0.7375
3.4,1351,1201,783,1828,1307,9.8,59.6,0.7214
3.8,1408,1278,682,1928,1481,11.2,57,0.7544
3.1,1304,1142,772,1747,1405,14.8,44.1,0.7407
2.7,1207,1098,826,1664,1195,16.8,35.3,0.6729
2,1099,1014,948,1503,868,19.2,27.1,0.5976
2.3,1106,1068,915,1535,874,19.1,26.2,0.5741
1.9,1009,916,1015,1391,738,16.3,30.8,0.5683
1.3,962,776,1152,1279,550,14.2,36.8,0.5922
1.9,1093,933,976,1454,777,13.4,41,0.6292
2.3,1180,1023,886,1588,966,14.2,43.3,0.6982
2.4,1168,1037,868,1580,990,12.1,45.6,0.6403
2.7,1168,1063,876,1540,944,10.4,48,0.6046
2.6,1140,1000,916,1490,962,10,51.1,0.628
1.5,1001,811,1097,1308,778,9.8,50.8,0.6172
1.2,953,743,1185,1252,690,9.7,50.4,0.6063
1.1,972,715,1237,1258,644,9.9,50.2,0.6103
1.5,1021,776,1144,1307,753,9.4,53.4,0.63
1,940,664,1290,1232,646,8.6,57.8,0.6488
1.2,1046,736,1142,1312,838,8.1,62.1,0.6746
1.1,1026,699,1191,1292,851,7.9,63.5,0.6777
0.93333,983,698,1209,1296,801,7.4,64.8,0.6683
0.8,915,578,1417,1212,665,8.2,58.9,0.6444
0.9,935,615,1373,1250,717,6.3,66.6,0.641
1.1,976,669,1270,1266,795,7.2,62.9,0.6396
1.5,1124,842,1050,1418,936,7.2,63.9,0.65
1.8,1163,919,922,1530,1076,11.1,50.5,0.6654
2.1,1167,966,942,1520,1016,15.5,36.1,0.6313
2.1,1121,955,992,1451,834,17.8,29.2,0.592
1.9,1071,940,994,1449,756,17.6,30.1,0.6013
2.1,1065,979,950,1467,766,19.1,26.8,0.5861
2.5,1157,1072,888,1596,905,17.7,28.6,0.5735
1.9,1046,883,1051,1357,765,17.8,28.4,0.5737
2.2,1147,1042,934,1538,830,18.7,26,0.5555
2.3,1119,1022,916,1508,853,17.1,31.3,0.6038
2.7,1210,1062,886,1586,981,15.8,36.1,0.644
3,1306,1079,827,1621,1286,14.7,40.1,0.6657
2.8,1258,1057,841,1633,1244,13.6,44.9,0.6991
2.2,1148,930,948,1475,1056,12.5,48.1,0.6946
1.6,1108,848,1023,1421,1003,11.8,50.8,0.7042
2.1,1231,924,906,1483,1245,10.9,56.1,0.7326
2.3,1293,937,930,1464,1200,10.9,55.9,0.7277
2.3,1274,912,939,1451,1188,10.3,58.1,0.7278
1.7,1135,827,1013,1395,1070,9.3,62.2,0.7294
2.2,1151,911,935,1501,1075,8.2,66.7,0.7276
1.3,1010,769,1110,1396,895,8.3,64.9,0.7124
0.8,870,626,1325,1284,755,9.6,58.5,0.7
1.1,983,688,1251,1342,806,7.7,66.4,0.699
1.4,995,691,1219,1321,836,7.4,68,0.7043
1.3,1024,747,1136,1382,897,9.7,58.6,0.7035
1.9,1163,880,959,1486,1073,12.5,50.1,0.7242
2.3,1218,938,918,1501,1088,16.8,36.9,0.7018
2.3,1210,958,933,1514,1036,19.2,31.3,0.6887
1.8,1114,887,1020,1438,768,21.3,26.4,0.6607
1.4,995,796,1159,1287,587,21.2,23.1,0.5768
1,927,700,1285,1189,452,18.6,25,0.5319
1.4,1002,754,1189,1260,470,18,27.3,0.5594
1.3,987,727,1213,1244,502,18.2,28.3,0.5848
1.3,993,714,1217,1238,516,17,31.4,0.6048
1.4,1012,746,1174,1301,555,15.6,35,0.617
1.9,1114,823,1068,1357,671,14.1,40.2,0.6438
1.8,1093,789,1102,1329,788,13.4,43.2,0.6623
1.1,968,669,1261,1246,538,12.3,46.8,0.6686
1.1,960,666,1266,1224,544,11.9,46.5,0.6449
1.1,942,648,1300,1204,500,11.5,46.6,0.6319
0.9,888,598,1396,1156,417,10.6,48,0.6135
0.6,818,524,1588,1071,341,10.7,45.8,0.5895
0.5,840,509,1643,1076,352,10.4,46.6,0.5901
0.7,894,524,1557,1095,397,10.1,47.8,0.5913
0.6,864,516,1496,1153,502,11.3,46.9,0.628
0.7,898,559,1441,1180,648,10.1,51.2,0.6341
0.9,946,643,1309,1232,760,9.9,50.7,0.6167
2.9,1309,1125,844,1687,1183,8.1,56.8,0.615
4.1,1326,1289,714,1806,1431,10.9,44.1,0.5748
1.5,966,786,1111,1258,705,11.8,37.6,0.5184
1.5,975,793,1133,1254,637,13.9,33.2,0.5222
1.5,988,803,1105,1293,658,15.6,30.1,0.5285
1.4,971,786,1129,1272,546,16.5,29,0.5406
1.6,1010,833,1070,1332,561,17.5,27.9,0.5517
1.5,984,790,1131,1268,532,17.9,26.8,0.5446
1.4,962,776,1131,1247,535,18.2,26.1,0.5387
1.5,1012,801,1098,1289,525,18,27.1,0.5522
1.9,1058,896,996,1358,603,17,28.9,0.5558
2.5,1173,985,905,1477,802,16.1,31.3,0.568
2.1,1127,907,957,1404,796,14.5,35.4,0.5839
1.6,1020,797,1066,1302,689,13.2,37.9,0.5733
1.2,949,700,1221,1178,553,13.1,34.4,0.517
1.1,930,710,1278,1137,509,13.5,28.5,0.4405
1,900,643,1339,1089,455,12.4,31.9,0.4583
1,899,630,1418,1050,425,13.1,26.8,0.4023
0.7,866,569,1468,1055,436,11.6,33.6,0.4595
0.7,900,563,1402,1130,618,10.5,42.9,0.5442
0.8,949,540,1457,1104,747,11.7,38.7,0.5298
0.6,897,529,1462,1101,693,12.2,37.2,0.5277
0.7,956,605,1341,1117,691,12.9,33.9,0.5037
1.1,1054,779,1080,1266,1013,11.3,40.3,0.5376
2.6,1343,1096,839,1587,1311,11.9,38.4,0.5341
4,1584,1399,642,1947,1675,13.3,35.6,0.5416
4.2,1556,1337,674,1852,1689,16.3,28.8,0.5305
4.7,1565,1324,695,1872,1688,17.9,28.2,0.5741
3.9,1429,1251,734,1754,1548,18.3,26.6,0.5529
3.7,1419,1267,742,1763,1490,20.8,22.5,0.5463
3.4,1373,1213,791,1711,1354,22.4,20,0.5352
2.2,1185,992,942,1448,1014,20.9,21.7,0.5295
1.9,1122,897,991,1372,831,19.1,26.5,0.579
1.6,1085,820,1060,1325,699,18.1,30.6,0.6295
2.1,1249,968,874,1527,926,17.3,34.7,0.6788
2.2,1236,962,853,1532,928,15.8,40.4,0.7228
2.7,1334,1047,815,1638,1038,15.9,42,0.7541
2.4,1264,928,884,1534,1035,15.9,43.5,0.779
1.3,1073,746,1072,1360,789,15,46.1,0.7833
1.2,1053,701,1147,1323,692,15.1,44.6,0.7574
1.5,1098,747,1094,1360,764,14.9,43.5,0.7302
1.3,1029,702,1180,1287,639,14.8,41,0.685
1,973,631,1287,1240,541,14.8,40.8,0.6814
0.9,972,639,1222,1256,678,14.8,40.8,0.6834
0.5,832,496,1613,1066,381,14.2,36.1,0.5823
0.5,851,477,1699,1064,343,14.5,36.1,0.5928
0.6,909,545,1473,1131,436,14.6,36,0.5947
1,1038,684,1220,1279,688,14.4,38.5,0.6291
3.1,1636,1168,721,1926,1438,13.8,58.2,0.9129
4.1,1580,1295,639,1957,1489,13.2,61.1,0.9256
2.2,1262,924,872,1576,1093,10.4,74.4,0.9384
1.7,1197,837,957,1498,965,11.5,71,0.9582
1.9,1277,886,902,1579,1004,12.2,70,0.9924
2.9,1430,1025,779,1772,1166,12.3,73.3,1.0442
